(0.164100) avg_accuracy=0.180000, f_measure:0.193580
(0.164000) avg_accuracy=0.180000, f_measure:0.193580
(0.163900) avg_accuracy=0.180000, f_measure:0.193580
(0.163800) avg_accuracy=0.180000, f_measure:0.193580
(0.163700) avg_accuracy=0.180000, f_measure:0.193580
(0.163600) avg_accuracy=0.180000, f_measure:0.193580
(0.163500) avg_accuracy=0.180000, f_measure:0.193580
(0.163400) avg_accuracy=0.180000, f_measure:0.193580
(0.163300) avg_accuracy=0.180000, f_measure:0.193580
(0.163200) avg_accuracy=0.180000, f_measure:0.193580
(0.163100) avg_accuracy=0.180000, f_measure:0.193580
(0.163000) avg_accuracy=0.180000, f_measure:0.193580
(0.162900) avg_accuracy=0.180000, f_measure:0.193580
(0.162800) avg_accuracy=0.180000, f_measure:0.193580
(0.162700) avg_accuracy=0.180000, f_measure:0.193580
(0.162600) avg_accuracy=0.180000, f_measure:0.193580
(0.162500) avg_accuracy=0.180000, f_measure:0.193580
(0.162400) avg_accuracy=0.180000, f_measure:0.193580
(0.162300) avg_accuracy=0.180000, f_measure:0.193580
(0.162200) avg_accuracy=0.180000, f_measure:0.193580
(0.162100) avg_accuracy=0.180000, f_measure:0.193580
(0.162000) avg_accuracy=0.180000, f_measure:0.193580
(0.161900) avg_accuracy=0.180000, f_measure:0.193580
(0.161800) avg_accuracy=0.180000, f_measure:0.193580
(0.161700) avg_accuracy=0.180000, f_measure:0.193580
(0.161600) avg_accuracy=0.180000, f_measure:0.193580
(0.161500) avg_accuracy=0.180000, f_measure:0.193580
(0.161400) avg_accuracy=0.180000, f_measure:0.193580
(0.161300) avg_accuracy=0.180000, f_measure:0.193580
(0.161200) avg_accuracy=0.180000, f_measure:0.193580
(0.161100) avg_accuracy=0.180000, f_measure:0.193580
(0.161000) avg_accuracy=0.180000, f_measure:0.193580
(0.160900) avg_accuracy=0.180000, f_measure:0.193580
(0.160800) avg_accuracy=0.180000, f_measure:0.193580
(0.160700) avg_accuracy=0.180000, f_measure:0.193580
(0.160600) avg_accuracy=0.180000, f_measure:0.193580
(0.160500) avg_accuracy=0.180000, f_measure:0.193580
(0.160400) avg_accuracy=0.180000, f_measure:0.193580
(0.160300) avg_accuracy=0.180000, f_measure:0.193580
(0.160200) avg_accuracy=0.180000, f_measure:0.193580
(0.160100) avg_accuracy=0.180000, f_measure:0.193580
(0.160000) avg_accuracy=0.180000, f_measure:0.193580
(0.159900) avg_accuracy=0.180000, f_measure:0.193580
(0.159800) avg_accuracy=0.180000, f_measure:0.193580
(0.159700) avg_accuracy=0.180000, f_measure:0.193580
(0.159600) avg_accuracy=0.180000, f_measure:0.193580
(0.159500) avg_accuracy=0.180000, f_measure:0.193580
(0.159400) avg_accuracy=0.180000, f_measure:0.193580
(0.159300) avg_accuracy=0.180000, f_measure:0.193580
(0.159200) avg_accuracy=0.180000, f_measure:0.193580
(0.159100) avg_accuracy=0.180000, f_measure:0.193580
(0.159000) avg_accuracy=0.180000, f_measure:0.193580
(0.158900) avg_accuracy=0.180000, f_measure:0.193580
(0.158800) avg_accuracy=0.180000, f_measure:0.193580
(0.158700) avg_accuracy=0.180000, f_measure:0.193580
(0.158600) avg_accuracy=0.180000, f_measure:0.193580
(0.158500) avg_accuracy=0.180000, f_measure:0.193580
(0.158400) avg_accuracy=0.180000, f_measure:0.193580
(0.158300) avg_accuracy=0.180000, f_measure:0.193580
(0.158200) avg_accuracy=0.180000, f_measure:0.193580
(0.158100) avg_accuracy=0.180000, f_measure:0.193580
(0.158000) avg_accuracy=0.180000, f_measure:0.193580
(0.157900) avg_accuracy=0.180000, f_measure:0.193580
(0.157800) avg_accuracy=0.180000, f_measure:0.193580
(0.157700) avg_accuracy=0.180000, f_measure:0.193580
(0.157600) avg_accuracy=0.180000, f_measure:0.193580
(0.157500) avg_accuracy=0.180000, f_measure:0.193580
(0.157400) avg_accuracy=0.180000, f_measure:0.193580
(0.157300) avg_accuracy=0.180000, f_measure:0.193580
(0.157200) avg_accuracy=0.180000, f_measure:0.193580
(0.157100) avg_accuracy=0.160000, f_measure:0.167654
(0.157000) avg_accuracy=0.160000, f_measure:0.167654
(0.156900) avg_accuracy=0.160000, f_measure:0.167654
(0.156800) avg_accuracy=0.160000, f_measure:0.167654
(0.156700) avg_accuracy=0.160000, f_measure:0.167654
(0.156600) avg_accuracy=0.160000, f_measure:0.167654
(0.156500) avg_accuracy=0.160000, f_measure:0.167654
(0.156400) avg_accuracy=0.160000, f_measure:0.167654
(0.156300) avg_accuracy=0.160000, f_measure:0.167654
(0.156200) avg_accuracy=0.160000, f_measure:0.167654
(0.156100) avg_accuracy=0.160000, f_measure:0.167654
(0.156000) avg_accuracy=0.160000, f_measure:0.167654
(0.155900) avg_accuracy=0.160000, f_measure:0.167654
(0.155800) avg_accuracy=0.160000, f_measure:0.167654
(0.155700) avg_accuracy=0.160000, f_measure:0.167654
(0.155600) avg_accuracy=0.160000, f_measure:0.167654
(0.155500) avg_accuracy=0.160000, f_measure:0.167654
(0.155400) avg_accuracy=0.160000, f_measure:0.167654
(0.155300) avg_accuracy=0.160000, f_measure:0.167654
(0.155200) avg_accuracy=0.160000, f_measure:0.167654
(0.155100) avg_accuracy=0.160000, f_measure:0.167654
(0.155000) avg_accuracy=0.160000, f_measure:0.167654
(0.154900) avg_accuracy=0.160000, f_measure:0.167654
(0.154800) avg_accuracy=0.160000, f_measure:0.167654
(0.154700) avg_accuracy=0.160000, f_measure:0.167654
(0.154600) avg_accuracy=0.160000, f_measure:0.167654
