(0.081000) avg_accuracy=0.330000, f_measure:0.052552
(0.080500) avg_accuracy=0.330000, f_measure:0.052552
(0.080000) avg_accuracy=0.330000, f_measure:0.052552
(0.079500) avg_accuracy=0.330000, f_measure:0.052552
(0.079000) avg_accuracy=0.330000, f_measure:0.052552
(0.078500) avg_accuracy=0.330000, f_measure:0.052552
(0.078000) avg_accuracy=0.330000, f_measure:0.052552
(0.077500) avg_accuracy=0.330000, f_measure:0.052552
(0.077000) avg_accuracy=0.330000, f_measure:0.052552
(0.076500) avg_accuracy=0.330000, f_measure:0.052552
(0.076000) avg_accuracy=0.330000, f_measure:0.052552
(0.075500) avg_accuracy=0.330000, f_measure:0.052552
(0.075000) avg_accuracy=0.330000, f_measure:0.052552
(0.074500) avg_accuracy=0.330000, f_measure:0.052552
(0.074000) avg_accuracy=0.330000, f_measure:0.052552
(0.073500) avg_accuracy=0.330000, f_measure:0.052552
(0.073000) avg_accuracy=0.330000, f_measure:0.052552
(0.072500) avg_accuracy=0.330000, f_measure:0.052552
(0.072000) avg_accuracy=0.330000, f_measure:0.052552
(0.071500) avg_accuracy=0.330000, f_measure:0.052552
(0.071000) avg_accuracy=0.330000, f_measure:0.052552
(0.070500) avg_accuracy=0.330000, f_measure:0.052552
(0.070000) avg_accuracy=0.330000, f_measure:0.052552
(0.069500) avg_accuracy=0.330000, f_measure:0.052552
(0.069000) avg_accuracy=0.330000, f_measure:0.052552
(0.068500) avg_accuracy=0.330000, f_measure:0.052552
(0.068000) avg_accuracy=0.330000, f_measure:0.052552
(0.067500) avg_accuracy=0.330000, f_measure:0.052552
(0.067000) avg_accuracy=0.330000, f_measure:0.052552
(0.066500) avg_accuracy=0.330000, f_measure:0.052552
(0.066000) avg_accuracy=0.330000, f_measure:0.052552
(0.065500) avg_accuracy=0.330000, f_measure:0.052552
(0.065000) avg_accuracy=0.330000, f_measure:0.052552
(0.064500) avg_accuracy=0.330000, f_measure:0.052552
(0.064000) avg_accuracy=0.330000, f_measure:0.052552
(0.063500) avg_accuracy=0.330000, f_measure:0.052552
(0.063000) avg_accuracy=0.330000, f_measure:0.052552
(0.062500) avg_accuracy=0.330000, f_measure:0.082420
(0.062000) avg_accuracy=0.330000, f_measure:0.082420
(0.061500) avg_accuracy=0.330000, f_measure:0.082420
(0.061000) avg_accuracy=0.330000, f_measure:0.082420
(0.060500) avg_accuracy=0.330000, f_measure:0.082420
(0.060000) avg_accuracy=0.330000, f_measure:0.082420
(0.059500) avg_accuracy=0.330000, f_measure:0.082420
(0.059000) avg_accuracy=0.330000, f_measure:0.082420
(0.058500) avg_accuracy=0.330000, f_measure:0.082420
(0.058000) avg_accuracy=0.330000, f_measure:0.082420
(0.057500) avg_accuracy=0.330000, f_measure:0.082420
(0.057000) avg_accuracy=0.330000, f_measure:0.082420
(0.056500) avg_accuracy=0.340000, f_measure:0.152807
(0.056000) avg_accuracy=0.340000, f_measure:0.152807
(0.055500) avg_accuracy=0.340000, f_measure:0.152807
(0.055000) avg_accuracy=0.340000, f_measure:0.152807
(0.054500) avg_accuracy=0.330000, f_measure:0.103462
(0.054000) avg_accuracy=0.330000, f_measure:0.103462
(0.053500) avg_accuracy=0.330000, f_measure:0.103462
(0.053000) avg_accuracy=0.360000, f_measure:0.188899
(0.052500) avg_accuracy=0.360000, f_measure:0.188899
(0.052000) avg_accuracy=0.360000, f_measure:0.188899
(0.051500) avg_accuracy=0.360000, f_measure:0.188899
(0.051000) avg_accuracy=0.360000, f_measure:0.188899
(0.050500) avg_accuracy=0.360000, f_measure:0.188899
(0.050000) avg_accuracy=0.360000, f_measure:0.188899
(0.049500) avg_accuracy=0.360000, f_measure:0.188899
(0.049000) avg_accuracy=0.360000, f_measure:0.188899
(0.048500) avg_accuracy=0.360000, f_measure:0.188899
(0.048000) avg_accuracy=0.360000, f_measure:0.188899
(0.047500) avg_accuracy=0.360000, f_measure:0.188899
(0.047000) avg_accuracy=0.360000, f_measure:0.180955
(0.046500) avg_accuracy=0.360000, f_measure:0.180955
(0.046000) avg_accuracy=0.360000, f_measure:0.180955
(0.045500) avg_accuracy=0.360000, f_measure:0.180955
(0.045000) avg_accuracy=0.360000, f_measure:0.180955
(0.044500) avg_accuracy=0.360000, f_measure:0.180955
(0.044000) avg_accuracy=0.360000, f_measure:0.180955
(0.043500) avg_accuracy=0.360000, f_measure:0.180955
(0.043000) avg_accuracy=0.360000, f_measure:0.180955
(0.042500) avg_accuracy=0.360000, f_measure:0.180955
(0.042000) avg_accuracy=0.360000, f_measure:0.180955
(0.041500) avg_accuracy=0.360000, f_measure:0.180955
(0.041000) avg_accuracy=0.360000, f_measure:0.180955
(0.040500) avg_accuracy=0.360000, f_measure:0.180955
(0.040000) avg_accuracy=0.360000, f_measure:0.180955
(0.039500) avg_accuracy=0.370000, f_measure:0.207305
(0.039000) avg_accuracy=0.370000, f_measure:0.207305
(0.038500) avg_accuracy=0.370000, f_measure:0.207305
(0.038000) avg_accuracy=0.370000, f_measure:0.207305
(0.037500) avg_accuracy=0.370000, f_measure:0.207305
(0.037000) avg_accuracy=0.380000, f_measure:0.245242
(0.036500) avg_accuracy=0.380000, f_measure:0.245242
(0.036000) avg_accuracy=0.380000, f_measure:0.245242
(0.035500) avg_accuracy=0.380000, f_measure:0.245242
(0.035000) avg_accuracy=0.400000, f_measure:0.365548
(0.034500) avg_accuracy=0.400000, f_measure:0.365548
(0.034000) avg_accuracy=0.400000, f_measure:0.365548
(0.033500) avg_accuracy=0.400000, f_measure:0.365548
(0.033000) avg_accuracy=0.400000, f_measure:0.365548
(0.032500) avg_accuracy=0.400000, f_measure:0.365548
(0.032000) avg_accuracy=0.400000, f_measure:0.365548
(0.031500) avg_accuracy=0.400000, f_measure:0.365548
(0.031000) avg_accuracy=0.400000, f_measure:0.365548
(0.030500) avg_accuracy=0.400000, f_measure:0.365548
(0.030000) avg_accuracy=0.400000, f_measure:0.365548
(0.029500) avg_accuracy=0.400000, f_measure:0.365548
(0.029000) avg_accuracy=0.400000, f_measure:0.365548
(0.028500) avg_accuracy=0.400000, f_measure:0.365548
(0.028000) avg_accuracy=0.420000, f_measure:0.441444
(0.027500) avg_accuracy=0.420000, f_measure:0.441444
(0.027000) avg_accuracy=0.420000, f_measure:0.441444
(0.026500) avg_accuracy=0.420000, f_measure:0.441444
(0.026000) avg_accuracy=0.420000, f_measure:0.441444
(0.025500) avg_accuracy=0.420000, f_measure:0.441444
(0.025000) avg_accuracy=0.420000, f_measure:0.441444
(0.024500) avg_accuracy=0.420000, f_measure:0.441444
(0.024000) avg_accuracy=0.420000, f_measure:0.441444
(0.023500) avg_accuracy=0.420000, f_measure:0.441444
(0.023000) avg_accuracy=0.420000, f_measure:0.441444
(0.022500) avg_accuracy=0.420000, f_measure:0.441444
(0.022000) avg_accuracy=0.420000, f_measure:0.441444
(0.021500) avg_accuracy=0.440000, f_measure:0.521995
(0.021000) avg_accuracy=0.440000, f_measure:0.521995
(0.020500) avg_accuracy=0.440000, f_measure:0.521995
(0.020000) avg_accuracy=0.440000, f_measure:0.521995
(0.019500) avg_accuracy=0.440000, f_measure:0.521995
(0.019000) avg_accuracy=0.440000, f_measure:0.521995
(0.018500) avg_accuracy=0.440000, f_measure:0.521995
(0.018000) avg_accuracy=0.440000, f_measure:0.521995
(0.017500) avg_accuracy=0.440000, f_measure:0.521995
(0.017000) avg_accuracy=0.450000, f_measure:0.596313
(0.016500) avg_accuracy=0.450000, f_measure:0.596313
(0.016000) avg_accuracy=0.450000, f_measure:0.596313
(0.015500) avg_accuracy=0.450000, f_measure:0.596313
(0.015000) avg_accuracy=0.450000, f_measure:0.596313
(0.014500) avg_accuracy=0.450000, f_measure:0.596313
(0.014000) avg_accuracy=0.450000, f_measure:0.610043
(0.013500) avg_accuracy=0.450000, f_measure:0.640900
(0.013000) avg_accuracy=0.450000, f_measure:0.640900
(0.012500) avg_accuracy=0.450000, f_measure:0.640900
(0.012000) avg_accuracy=0.450000, f_measure:0.640900
(0.011500) avg_accuracy=0.450000, f_measure:0.640900
(0.011000) avg_accuracy=0.450000, f_measure:0.640900
(0.010500) avg_accuracy=0.450000, f_measure:0.640900
(0.010000) avg_accuracy=0.450000, f_measure:0.640900
(0.009500) avg_accuracy=0.450000, f_measure:0.640900
(0.009000) avg_accuracy=0.450000, f_measure:0.640900
(0.008500) avg_accuracy=0.450000, f_measure:0.640900
(0.008000) avg_accuracy=0.450000, f_measure:0.640900
(0.007500) avg_accuracy=0.450000, f_measure:0.640900
(0.007000) avg_accuracy=0.450000, f_measure:0.640900
(0.006500) avg_accuracy=0.450000, f_measure:0.640900
(0.006000) avg_accuracy=0.450000, f_measure:0.640900
(0.005500) avg_accuracy=0.450000, f_measure:0.640900
(0.005000) avg_accuracy=0.450000, f_measure:0.640900
(0.004500) avg_accuracy=0.480000, f_measure:0.705059
(0.004000) avg_accuracy=0.480000, f_measure:0.705059
(0.003500) avg_accuracy=0.480000, f_measure:0.705059
(0.003000) avg_accuracy=0.480000, f_measure:0.705059
(0.002500) avg_accuracy=0.480000, f_measure:0.705059
(0.002000) avg_accuracy=0.480000, f_measure:0.705059
(0.001500) avg_accuracy=0.480000, f_measure:0.705059
(0.001000) avg_accuracy=0.480000, f_measure:0.705059
(0.000500) avg_accuracy=0.480000, f_measure:0.705059
